,,,,,,,
Tên công ty,Công ty Cổ phần Sữa Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,15/03/2025,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
05/06/2024,63478.4698274676,66355.1376444223,63478.4698274676,65683.9151537996,2500,0.0378787878787878,11865800
04/06/2024,63382.5809002358,63862.0255363949,63286.691973004,63286.691973004,-100,-0.00151285930408474,3755800
03/06/2024,63094.9141185403,63862.0255363949,62999.0251913085,63382.5809002358,700,0.010703363914373,3302200
31/05/2024,63190.8030457721,63190.8030457721,62615.4694823812,62711.358409613,-300,-0.00456621004566216,4165400
30/05/2024,63382.5809002358,63478.4698274676,62807.2473368448,62999.0251913085,-600,-0.00904977375565608,4502600
29/05/2024,64245.5812453222,64533.2480270177,63286.691973004,63574.3587546994,-500,-0.00748502994011979,3644200
28/05/2024,63574.3587546994,64533.2480270177,63382.5809002358,64053.8033908586,700,0.0105900151285931,5787500
27/05/2024,63382.5809002358,63862.0255363949,63094.9141185403,63382.5809002358,100,0.00151515151515147,2426600
24/05/2024,63957.9144636267,64149.6923180904,62999.0251913085,63286.691973004,-1000,-0.0149253731343284,4194100
23/05/2024,63286.691973004,64245.5812453222,63094.9141185403,64245.5812453222,1200,0.0182370820668694,2991400
22/05/2024,63670.2476819313,63957.9144636267,63094.9141185403,63094.9141185403,-400,-0.0060422960725075,3728300
21/05/2024,63670.2476819313,63862.0255363949,63094.9141185403,63478.4698274676,-200,-0.00301204819277112,3821200
20/05/2024,64341.470172554,64820.9148087132,63670.2476819313,63670.2476819313,-600,-0.008955223880597,4941500
17/05/2024,64533.2480270177,65012.6926631768,64053.8033908586,64245.5812453222,-200,-0.00297619047619047,4349200
16/05/2024,64341.470172554,64916.803735945,64245.5812453222,64437.3590997859,200,0.00298507462686559,3153300
15/05/2024,64149.6923180904,64533.2480270177,63957.9144636267,64245.5812453222,500,0.00751879699248126,3895400
14/05/2024,63190.8030457721,64245.5812453222,63190.8030457721,63766.1366091631,700,0.0106382978723405,2704800
13/05/2024,63862.0255363949,64053.8033908586,62711.358409613,63094.9141185403,-700,-0.0105263157894737,2882500
10/05/2024,63957.9144636267,64725.0258814813,63382.5809002358,63766.1366091631,-100,-0.00150150150150152,2438800
09/05/2024,65108.5815904086,65108.5815904086,63862.0255363949,63862.0255363949,-1300,-0.0191458026509573,2998000
08/05/2024,65204.4705176404,65204.4705176404,64341.470172554,65108.5815904086,-100,-0.00147058823529411,2984400
07/05/2024,63286.691973004,65683.9151537996,63190.8030457721,65204.4705176404,2200,0.0334346504559271,8723900
06/05/2024,63094.9141185403,63670.2476819313,62807.2473368448,63094.9141185403,200,0.00304878048780477,2261300
03/05/2024,62903.1362640767,63286.691973004,62807.2473368448,62903.1362640767,200,0.00305810397553508,2204400
02/05/2024,62711.358409613,62807.2473368448,62231.9137734539,62711.358409613,400,0.00615384615384618,2563400
26/04/2024,62040.1359189903,63094.9141185403,61848.3580645266,62327.8027006857,300,0.00463678516228749,2940600
25/04/2024,61368.9134283675,62136.0248462221,61273.0245011357,62040.1359189903,700,0.0109375,2006000
24/04/2024,61368.9134283675,61656.580210063,60889.4687922084,61368.9134283675,500,0.00787401574803148,2478300
23/04/2024,61560.6912828311,61656.580210063,60601.8020105129,60889.4687922084,-500,-0.0078125,2139400
22/04/2024,62040.1359189903,62615.4694823812,61368.9134283675,61368.9134283675,-200,-0.00311526479750779,2035200
19/04/2024,61560.6912828311,61752.4691372948,60697.6909377447,61560.6912828311,0,0,4677100
17/04/2024,61752.4691372948,62231.9137734539,61560.6912828311,61560.6912828311,200,0.00312500000000004,5144500
16/04/2024,62231.9137734539,62327.8027006857,60410.0241560492,61368.9134283675,-900,-0.0138674884437596,7128700
15/04/2024,63957.9144636267,63957.9144636267,62231.9137734539,62231.9137734539,-1800,-0.0269865067466267,5776100
12/04/2024,64053.8033908586,64341.470172554,63862.0255363949,63957.9144636267,100,0.00150150150150141,2509200
11/04/2024,63957.9144636267,64149.6923180904,63766.1366091631,63862.0255363949,-200,-0.00299401197604787,2947700
10/04/2024,64341.470172554,64533.2480270177,64053.8033908586,64053.8033908586,-200,-0.0029850746268657,4464100
09/04/2024,64341.470172554,64533.2480270177,64053.8033908586,64245.5812453222,0,0,2516000
08/04/2024,65204.4705176404,65204.4705176404,64149.6923180904,64245.5812453222,-900,-0.0132547864506627,3716000
05/04/2024,65396.2483721041,65396.2483721041,64916.803735945,65108.5815904086,-300,-0.00439882697947214,4233800
04/04/2024,63957.9144636267,65588.0262265677,63957.9144636267,65396.2483721041,1500,0.0224887556221889,8598100
